NFT ID,Background trait,Background rarity %,Arms trait,Arms rarity %,Body trait,Body rarity %,Legs trait,Legs rarity %,Weapon trait,Weapon rarity %,Helmet trait,Helmet rarity %,Element trait,Element rarity %,Wings trait,Wings rarity %,Aura trait,Aura rarity %,Custom trait,Custom rarity %,1/1 trait,1/1 rarity %,Artist trait,Artist rarity %,emission_multiple,token_id,Overall Rarity %,Rank
50,City,5.46,Mirakle,14.16,Nexus,18.26,CyberneticV2,7.80,0.0,0.00,Moonbag V2,2.19,Hopium,19.73,0.0,0.00,Supercharged,17.76,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,54.33526011560693,1193
51,RubbleV3,5.30,Ekko,14.34,Nexus,18.26,Thicc,20.43,Ekko Spear,14.07,DroneV2,1.17,Hopium,19.73,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,59.61785484906872,2197
52,TrippyHippy,5.37,Ronin,14.70,Cosmic,19.73,Military,19.19,0.0,0.00,Titan,7.64,Treenium,20.09,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,61.7533718689788,2627
53,Wiresv2,11.77,Brawler Yukon,13.69,Nexus,18.26,Frost,16.35,0.0,0.00,Formic,4.08,Aqium,19.59,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,59.63391136801541,2199
54,Wires,11.84,Ronin,14.70,Tron,13.62,Cybernetic,19.64,0.0,0.00,Primal,4.13,Avaxium,20.09,Fallen Angel,51.45,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,64.11368015414259,3075
55,Alley,5.07,Ekko,14.34,Tron,13.62,Cybernetic,19.64,0.0,0.00,Spartan,20.90,Kushium,20.41,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,66.92357096981374,3495
56,Wires,11.84,Ekko,14.34,Classic,17.86,Gundam,8.79,0.0,0.00,Formic,4.08,Aqium,19.59,0.0,0.00,Overdrive,18.55,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,60.950545921644185,2462
57,Barren,5.39,Ekko,14.34,OrbitalV2,4.85,Cybernetic,19.64,0.0,0.00,Ser,9.22,Treenium,20.09,Angel,48.55,Void,9.71,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,59.794476557482334,2237
58,Wiresv2,11.77,Mirakle,14.16,Frost,8.21,Cybernetic,19.64,0.0,0.00,Titan,7.64,Treenium,20.09,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,58.04431599229287,1866
59,Energy,5.30,Jaeger,14.50,Nexus,18.26,CyberneticV2,7.80,0.0,0.00,Moonbag,2.66,Kushium,20.41,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,49.08477842003854,538
60,Wires,11.84,Mirakle,14.16,Cosmic,19.73,Military,19.19,0.0,0.00,Gundam,2.16,Hopium,19.73,0.0,0.00,Prowess,18.82,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,68.38471419396275,3699
61,Alley,5.07,Brawler Yukon,13.69,Frost,8.21,Frost,16.35,0.0,0.00,Titan,7.64,Treenium,20.09,0.0,0.00,Supercharged,17.76,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,56.79190751445087,1620
62,Wires,11.84,Mirakle,14.16,Nexus,18.26,Gundam,8.79,Mirakle EnergyV3,1.56,Spartan,20.90,Avaxium,20.09,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,0.0,0.00,-1,-1,67.32498394348106,3561
